ID,EN Title,EN Keywords,References
cn01696,A man with a crippled hand is healed on the Sabbath.,withered; shriveled; deformed; paralyzed; miracle,MAT12; MRK03; LUK06
cn01697,Pharisees,leaders,
cn01698,Jesus prays in the wilderness.,solitude; Father,MAT04; LUK06
cn01699,Jesus with his twelve disciples,chosen; apostles,LUK06
cn01700,Sermon on the Mount,blessed; the Beatitudes,MAT05; LUK06
cn01701,Jesus heals the servant of a centurion.,paralyzed; faith,MAT08; LUK07
cn01702,Jesus speaks with a centurion.,servant; paralyzed,MAT08; LUK07
cn01703,The centurion meets his healed servant.,paralyzed; believe,MAT08; LUK07
cn01704,The centurion is with the healed servant.,paralyzed; miracle,MAT08; LUK07
cn01705,Jesus teaches the crowd from a boat.,,LUK05; MRK04
cn01706,Jesus teaches the crowd from a boat.,,LUK05; MRK04
cn01707,Jesus and his disciples in a boat and storm.,winds; waves,MRK04
cn01708,Jesus calms the storm.,rebuke; command,MAT08; MRK04; LUK08
cn01709,A demon-possessed man meets Jesus.,impure; tombs; Legion,MRK05
cn01710,Jesus heals the demon-possessed man.,impure; restored; sane,MRK05
cn01711,Jairus kneels before Jesus.,plead; leader,MAT09; MRK05; LUK08
cn01712,"Jesus, Jairus and his servant",miracle,MAT09; MRK05; LUK08
cn01713,Jesus heals Jairus' daughter.,asleep; alive; mother; father,MAT09; MRK05; LUK08
cn01714,Jesus teaches his twelve disciples.,apostles,MAT10; MRK06; LUK09
cn01715,Jesus teaches a hungry crowd. A boy shares his lunch,loaves; fish,MAT14; MRK06; LUK09; JHN06
cn01716,"Jesus, Andrew and the boy with a lunch",loaves; fish,MAT14; MRK06; LUK09; JHN06
cn01717,Jesus gives thanks for the food before feeding the 5000.,hunger; loaves; fish; 4000,MAT14; MRK06; LUK09; JHN06
cn01718,The disciples distribute food to the 5000.,hunger; loaves; fish; 4000,MAT14; MRK06; LUK09; JHN06
cn01719,the disciples in a boat in a storm,squall; winds; waves,MAT14; MRK06; LUK09; JHN06
cn01720,Jesus walks on water.,squall; winds; waves; ghost,MAT14; MRK06; LUK09; JHN06
cn01721,Jesus saves Peter from sinking.,rescue; doubt,MAT14; LUK09; JHN06
cn01722,Jesus saves Peter from sinking.,rescue; doubt,MAT14; LUK09; JHN06
cn01723,Jesus heals the sick.,miracle,MAT14; MRK06
cn01724,Pharisees question Jesus.,test,MAT19; MRK07; MRK08; MRK10; LUK11
cn01725,Jesus with Peter and his friend,Andrew,MAT04; MRK01
cn01726,Jesus with three disciples,Peter; James; John,MAT17; MRK05; MRK09; MRK14;
cn01727,"Jesus, James, John and Peter walk up a mountain.",transfiguration,MAT17; MRK09; LUK09
cn01728,transfiguration,Moses; Elijah,MAT17; MRK09; LUK09
cn01729,Jesus heals a demon possessed boy.,father; son; seizures,MAT17; MRK09; LUK09
cn01730,demon-possessed boy healed,father; son; seizures,MAT17; MRK09; LUK09
cn01731,Jesus with four disciples,teaching,
cn01732,Jesus with six disciples,,LUK09
cn01733,Jesus with eight disciples and a child,kingdom of heaven,MAT17: MRK09; LUK09
cn01734,Jesus with seven disciples and a child,greatest; kingdom of heaven,MAT17: MRK09; LUK09
cn01735,Jesus with seven disciples,teaching,LUK09
cn01736,Jesus teaches people.,,LUK09
cn01737,The high priest gives orders to guards.,authority; temple,JHN07
cn01738,The priests accuse Jesus.,false; enraged,LUK04
cn01739,Jesus heals a blind man.,Sabbath; miracle; sight,JHN09; MRK08; MRK10; LUK18
cn01740,A blind man tells others about Jesus.,Pharisees; sight,JHN09
cn01741,The blind man thanks Jesus.,miracle; sight,JHN09
cn01742,The blind man thanks Jesus.,miracle; sight,JHN09
cn01743,Jesus,,
cn01744,A lawyer questions Jesus.,law,LUK11
cn01745,Robbers attack a Jew.,Good Samaritan; beat; rob,LUK10
cn01746,Robbers attack a Jew.,Good Samaritan; beat; rob,LUK10
cn01747,A priest passes the wounded Jew.,Good Samaritan,LUK10
cn01748,A Levite passes the wounded Jew.,Good Samaritan,LUK10
cn01749,Good Samaritan,compassion; pity; bandage; donkey,LUK10
cn01750,"Martha, Mary and Jesus",listen; welcome; distracted,LUK10
cn01751,"Martha, Mary and Jesus",serve; food,LUK10
cn01752,"Martha, Mary and Jesus",serve; food,LUK10
cn01753,Jesus teaches his disciples.,instruct,LUK09
cn01754,Jesus walks with the disciples.,journey,
cn01755,rich man and Jesus,wealth; ruler,MRK10; LUK18
cn01756,Jesus teaches four of his disciples.,,
cn01757,Priests challenge Jesus in the temple.,authority; elders,MAT21; MRK11; LUK20
cn01758,The prodigal son requests his money.,estate; property; father; inheritance,LUK15
cn01759,The prodigal son feeds pigs.,swine; farm; hunger,LUK15
cn01760,pig,swine,LUK08; LUK15; MRK05; DEU14; LEV11
cn01761,The prodigal son returns to his father.,repent; humble; compassion,LUK15
cn01762,"The father of the prodigal son sends a servant for a robe, rings and sandals.",celebrate,LUK15
cn01763,The older brother of the prodigal son works in the fields.,farm; ox; grain; harvest; labor,LUK15
cn01764,The older brother of the prodigal son speaks with a servant.,music; inquire,LUK15
cn01765,The father speaks to the older brother of the prodigal son.,angry; refuse,LUK15
cn01766,people are surprised,amazed,LUK04; MAT09; MRK01
cn01767,A man in the crowd talks to Jesus.,,MRK05; LUK08
cn01768,Lazarus comes alive.,raised; resurrection,JHN11
cn01769,Lazarus is bound in grave clothes.,alive; resurrection; Mary; Martha,JHN11
cn01770,priests,,
cn01771,Mothers and their children are rebuked by the disciples.,,MAT19; MRK10; LUK18
cn01772,Children gather around Jesus.,bless,MAT19; MRK10; LUK18
cn01773,A rich young ruler speaks with Jesus.,turban; robe; wealth,LUK18
cn01774,A rich young ruler questions Jesus.,turban; robe; wealth,
cn01775,Zacchaeus runs ahead.,,LUK19
cn01776,Zacchaeus climbs a tree.,sycamore; Jesus,LUK19
cn01777,Zacchaeus welcomes Jesus to his home.,tax; collector; sinners,LUK19
cn01778,A woman anoints Jesus' feet with perfume.,Mary; expense; Judas,JHN12; LUK07
cn01779,"a woman, Jesus and a man",Mary; Pharisee,LUK07
cn01780,Jesus with two disciples,,LUK19; MAT21; MRK11;
cn01781,Owners of the colt question the disciples.,donkey,LUK19; MAT21; MRK11;
cn01782,triumphal entry,palms; gate; donkey; hosanna,LUK19; MAT21; MRK11; JHN12
cn01783,Jesus makes a triumphal entry into Jerusalem.,palms; gate; donkey; hosanna,LUK19; MAT21; MRK11; JHN12
cn01784,Jesus makes a triumphal entry into Jerusalem.,palms; gate; city; donkey; hosanna,LUK19; MAT21; MRK11; JHN12
cn01785,Jesus heals the sick.,miracles; palms,LUK19
cn01786,A temple merchant sells doves.,,LUK19; MAT21; MRK11; JHN02
cn01787,Jesus drives merchants from the temple.,tables; overturned; robbers; money,LUK19; MAT21; MRK11; JHN02
cn01788,priests,,
cn01789,Herodians question Jesus,,MAT22; MRK03; MRK12;
cn01790,Jesus shows a denarius to the crowd.,tax; Caesar,MAT22; MRK12; LUK20
cn01791,Sadducees talk to Jesus.,test,MAT22; MRK12; LUK20
cn01792,A lawyer talks to Jesus.,test,MAT22; LUK10
cn01793,A rich man gives an offering in the temple.,coins; treasury,MRK12; LUK21
cn01794,A poor widow gives an offering in the temple.,coins; treasury; denarius,MRK12; LUK21
cn01795,Judas with the high priest,betray,MAT26; MRK14; LUK22;
cn01796,Jesus with two disciples,Peter; John,LUK22; MAT26; MRK14
cn01797,A man carries a water jar.,last supper; passover,LUK22
cn01798,upper room,last supper; passover,LUK22
cn01799,Jesus washes Peter's feet.,last supper; servant; basin,JHN13
cn01800,Jesus with a basin to wash the feet of the disciples.,last supper,JHN13
cn01801,Jesus with two disciples,last supper,JHN13
cn01802,Judas leaves the upper room.,last supper; betray,LUK22; JHN13
cn01803,last supper showing eight disciples,wine; upper room; communion; passover,MAT26; MRK14; LUK22; JHN13
cn01804,last supper with three disciples,wine; upper; room; communion; passover,MAT26; MRK14; LUK22; JHN13
cn01805,Jesus with Peter,last supper,MAT26; MRK14; LUK22; JHN13
cn01806,Jesus,Savior,
cn01807,Jesus and the disciples go to the Mount of Olives.,Gethsemane,MAT26; MRK14; LUK22; JHN18
cn01808,Jesus prays in Gethsemane.,garden,MAT26; MRK14; LUK22; JHN18
cn01809,"Jesus, Peter, James, and John in Gethsemane",garden,MAT26; MRK14; LUK22; JHN18
cn01810,Jesus prays in Gethsemane.,agony; garden,MAT26; MRK14; LUK22; JHN18
cn01811,"Jesus wakes Peter, James and John.",Gethsemane; garden; asleep,MAT26; MRK14; LUK22; JHN18
cn01812,Judas kisses Jesus.,Gethsemane; betrayal; soldiers; torches,MAT26; MRK14; LUK22; JHN18
cn01813,Peter cuts a man's ear off.,Gethsemane; sword; Jesus; soldier,MAT26; MRK14; LUK22; JHN18
cn01814,Jesus was arrested by soldiers in Gethsemane.,torches; swords; garden,MAT26; MRK14; LUK22; JHN18
cn01815,Jesus' trial before priests,accuse; false; Sanhedrin; elders; scribes,MAT27; MRK14; LUK23; JHN18
cn01816,priests,trial,MAT27; MRK14; LUK23; JHN18
cn01817,Peter warms beside the fire in the courtyard.,trial; deny; servant,MAT26; MRK14; LUK22; JHN18
cn01818,Peter denies knowing Jesus a first time.,trial; servant,MAT26; MRK14; LUK22; JHN18
cn01819,Peter denies knowing Jesus a second time.,trial; servant,MAT26; MRK14; LUK22; JHN18
cn01820,Peter denies knowing Jesus a third time.,trial; courtyard,MAT26; MRK14; LUK22; JHN18
cn01821,close up of Peter,trial; weep,MAT26; MRK14; LUK22; JHN18
cn01822,Pilate and Jesus stand before the crowd.,trial; Roman; palace; priests,MAT27; MRK15; LUK23; JHN18
cn01823,Pilate and Jesus stand before the crowd.,trial; Roman; palace; crucify; Barabbas,MAT27; MRK15; LUK23; JHN18
cn01824,close up of Pilate,trial,MAT27; MRK15; LUK23; JHN18
cn01825,Pilate and Jesus are with an angry crowd.,trial; Roman; priests; crucify; Barabbas,MAT27; MRK15; LUK23; JHN18
cn01826,Pilate sentencing Jesus.,trial; soldier,MAT27; MRK15; LUK23; JHN18
cn01827,The Roman soldiers mock Jesus. Jesus wears a crown of thorns.,trial,MAT27; MRK15; LUK22; JHN19
cn01828,Pilate and Jesus are with the angry crowd.,trial; innocent; crucify,MAT27; MRK15; LUK23; JHN18
cn01829,Pilate writes a sign for the cross.,trial; king; Jews,MAT27; MRK15; LUK23; JHN19
cn01830,Pilate and the priests,trial,MAT27; MRK15;LUK23; JHN19
cn01831,Judas has the money from the priests.,silver; betray; remorse,MAT27
cn01832,Judas throws the money at the priests.,silver; remorse,MAT27
cn01833,Jesus carries his cross.,crucifixion; soldiers; beaten; crown; thorns,MAT27; MRK15; LUK23; JHN19
cn01834,Jesus carries his cross.,crucifixion; soldiers; beaten; crown; thorns,MAT27; MRK15; LUK23; JHN19
cn01835,Simon of Cyrene carries the cross.,crucifixion; soldiers; Jesus,MAT27; MRK15; LUK23; JHN19
cn01836,three crosses,crucifixion; Golgotha,MAT27; MRK15; LUK23; JHN19
cn01837,The soldiers divide Jesus' clothes.,crucifixion; dice,MAT27; MRK15; LUK23; JHN19
cn01838,The priests mock Jesus on the cross.,crucifixion,MAT27; MRK15; LUK23; JHN19
cn01839,A criminal hangs on a cross.,crucifixion; robber,MAT27; MRK15; LUK23; JHN19
cn01840,"Mary, John and other women at the cross",crucifixion; mother,MAT27; MRK15; LUK23; JHN19
cn01841,three crosses in the distance,crucifixion; Golgotha,MAT27; MRK15; LUK23; JHN19
cn01842,three empty crosses,crucifixion; Golgotha,MAT27; MRK15; LUK23; JHN19
cn01843,The temple curtain was torn.,priest; crucifixion; sanctuary,MAT27; MRK15; LUK23
cn01844,A Roman centurion looks at Jesus on the cross.,crucifixion; soldier,MAT27; MRK15; LUJ23
cn01845,three crosses and onlookers,crucifixion; Golgotha,MAT27; MRK15; LUK23; JHN19
cn01846,Joseph of Arimathea with Pilate,tomb; burial; disciple,MAT27; MRK15; LUK23; JHN19
cn01847,Jesus' body is carried to the tomb for burial.,Joseph; Nicodemus,MAT27; MRK15; LUK23; JHN19
cn01848,Soldiers guard the sealed tomb.,stone; priest,MAT27
cn01849,Soldiers guard the sealed tomb.,stone; priest,MAT27
cn01850,Women come to the open tomb.,Mary; Magdalene,MAT28; MRK16; LUK24; JHN20
cn01851,An angel greets the women in the tomb.,resurrection,MAT28; MRK16; LUK24; JHN20
cn01852,Peter and John enter the tomb.,resurrection,LUK24
cn01853,Angels greet the women at the tomb.,resurrection,MAT28; MRK16; LUK24; JHN20
cn01854,Mary Magdalene and Jesus,resurrection,MRK16; JHN20
cn01855,Mary Magdalene and Jesus,resurrection,JHN20
cn01856,Mary Magdalene and Jesus in the garden,resurrection,JHN20
cn01857,Mary Magdalene and Jesus in the garden,resurrection,JHN20
cn01858,The priests pay the soldiers.,tomb,MAT28
cn01859,Two disciples and Jesus are walking on the road to Emmaus .,resurrection,MRK16; LUK24
cn01860,Two disciples and Jesus are walking on the road to Emmaus.,resurrection,MRK16; LUK24
cn01861,Jesus breaks bread with two disciples.,Emmaus,LUK24
cn01862,Jesus breaks bread with two disciples.,Emmaus; wounds; hands,LUK24
cn01863,Jesus breaks bread with two disciples.,Emmaus; wounds; wrist,LUK24
cn01864,The disciples are locked in an upper room.,fear,MRK16; LUK24; JHN20
cn01865,Jesus with six disciples,upper room; wounds; hands,MRK16; LUK24; JHN20
cn01866,Jesus with six disciples,upper room; wounds; wrist,JHN20
cn01867,Jesus and two disciples with food,upper room; wounds; hands,LUK24
cn01868,Jesus and two disciples with food,upper room,LUK24
cn01869,Thomas touches Jesus' hand.,upper room; doubt,JHN20
cn01870,Thomas doubts the disciples.,upper room,JHN20
cn01871,Thomas sees the wound in Jesus' hand.,upper room,JHN20
cn01872,Thomas sees Jesus' wound in his wrist.,upper room,JHN20
cn01873,The disciples in a boat see Jesus on shore.,resurrected; Tiberias; fishing; Peter,JHN21
cn01874,The disciples in a boat see Jesus on shore.,resurrected; Tiberias; fishing; Peter,JHN21
cn01875,The disciples haul fish into the boat.,resurrected; Tiberias; fishing; Peter,JHN21
cn01876,The disciples in a fishing boat see Jesus on shore.,resurrected; Tiberias; Peter,JHN21
cn01877,The disciples bring fish to Jesus.,resurrected; Tiberias; fishing,JHN21
cn01878,Jesus cooks breakfast for the disciples.,resurrected; Tiberias,JHN21
cn01879,Jesus talks to Peter.,resurrected; questions,JHN21
cn01880,Jesus asks Peter questions.,resurrected,JHN21
cn01881,Jesus teaches the disciplies and the crowd.,resurrected; instruct,ACT01
cn01882,Jesus teaches eleven disciples.,resurrected,ACT01
cn01883,the ascension of Jesus,resurrected,MRK16; LUK24; ACT01
cn01884,Jesus gives a blessing.,resurrected; scars,LUK24; ACT01
cn01885,Jesus gives a blessing.,resurrected; scars,LUK24; ACT01
cn01886,the ascension of Jesus,Jesus; shine,LUK24; ACT01
cn01887,Angels address the believers.,ascension,ACT01
cn01888,Peter addresses the believers.,instruction,ACT01
cn01889,Peter and Matthias,witness; disciple,ACT01
cn01890,Pentecost: tongues of fire,Spirit; languages,ACT02
cn01891,Peter preaches to the crowd.,gospel; Jesus; converts,ACT02
cn01892,Peter preaches to the crowd.,gospel; Jesus; converts,ACT02
cn01893,The believers meet in their homes.,fellowship,ACT02
cn01894,The believers give food to the poor.,widows,ACT02; ACT06
